

Curve Name:
  !PHBH_10 layer
Curve Values:
       Index           t          Ts          Tr       Value
                     [s]        [�C]        [�C]         [%]
        2448        2448     428.461         433     4.63053
        2454        2454     429.463         434     4.62441
        2460        2460     430.457         435     4.62144
        2466        2466     431.463         436     4.61534
        2472        2472     432.469         437     4.60729
        2478        2478     433.455         438     4.60468
        2484        2484     434.466         439     4.59981
        2490        2490      435.47         440     4.58999
        2496        2496     436.464         441     4.58581
        2502        2502     437.465         442     4.58083
        2508        2508     438.468         443     4.57225
        2514        2514      439.47         444     4.56483
        2520        2520     440.459         445     4.55522
        2526        2526      441.46         446      4.5485
        2532        2532     442.458         447     4.54549
        2538        2538     443.461         448     4.53966
        2544        2544     444.455         449     4.53261
        2550        2550      445.45         450     4.52779
        2556        2556     446.443         451     4.52105
        2562        2562     447.439         452      4.5124
        2568        2568     448.446         453     4.50763
        2574        2574     449.438         454     4.49824
        2580        2580     450.437         455     4.49154
        2586        2586     451.431         456     4.48525
        2592        2592      452.42         457     4.47916
        2598        2598     453.425         458     4.47273
        2604        2604     454.421         459     4.46848
        2610        2610     455.414         460     4.46202
        2616        2616      456.41         461     4.45406
        2622        2622     457.408         462     4.44844
        2628        2628     458.404         463     4.44346
        2634        2634     459.401         464     4.43882
        2640        2640     460.395         465     4.43402
        2646        2646     461.389         466       4.427
        2652        2652     462.386         467     4.42411
        2658        2658     463.375         468     4.41762
        2664        2664     464.364         469     4.41486
        2670        2670     465.362         470     4.40909
        2676        2676     466.356         471     4.40543
        2682        2682     467.347         472     4.39908
        2688        2688      468.34         473     4.39594
        2694        2694     469.335         474     4.39464
        2700        2700     470.315         475     4.38837
        2706        2706     471.307         476     4.38635
        2712        2712     472.294         477      4.3862
        2718        2718     473.287         478     4.38515
        2724        2724     474.275         479     4.37806
        2730        2730     475.267         480     4.37671
        2736        2736     476.249         481     4.37865
        2742        2742     477.239         482     4.37517
        2748        2748      478.23         483     4.37436
        2754        2754     479.221         484     4.37404
        2760        2760     480.212         485     4.37615
        2766        2766     481.205         486     4.37565
        2772        2772     482.191         487     4.37551
        2778        2778     483.183         488     4.37449
        2784        2784     484.174         489      4.3678
        2790        2790     485.164         490      4.3734
        2796        2796     486.157         491     4.37647
        2802        2802     487.147         492     4.37671
        2808        2808     488.134         493     4.37671
        2814        2814     489.126         494     4.37671
        2820        2820      490.12         495     4.37671
        2826        2826     491.095         496     4.37671
        2832        2832     492.097         497     4.37671
        2838        2838     493.079         498     4.37671
        2844        2844      494.07         499     4.37776
        2850        2850     495.055         500     4.38136
        2856        2856      496.04         501     4.37823
        2862        2862     497.034         502     4.38025
        2868        2868     498.016         503     4.38541
        2874        2874     499.013         504      4.3862
        2880        2880     499.995         505      4.3862
        2886        2886     500.985         506      4.3862
        2892        2892      501.97         507      4.3862
        2898        2898      502.96         508      4.3862
        2904        2904     503.952         509      4.3862
        2910        2910     504.941         510      4.3862
        2916        2916     505.927         511      4.3886
        2922        2922     506.916         512     4.39111
        2928        2928     507.907         513     4.39429
        2934        2934     508.887         514     4.39311
        2940        2940     509.882         515     4.39533
        2946        2946     510.882         516      4.3957
        2952        2952     511.861         517      4.3957
        2958        2958     512.853         518      4.3957
        2964        2964     513.836         519     4.39675
        2970        2970      514.82         520     4.39825
        2976        2976     515.804         521     4.39711
        2982        2982     516.792         522     4.39581
        2988        2988     517.786         523     4.40242
        2994        2994     518.762         524       4.405
        3000        3000     519.745         525     4.40402
        3006        3006     520.733         526     4.40513
        3012        3012      521.71         527     4.40519
        3018        3018     522.705         528     4.40519
        3024        3024     523.698         529     4.40519
        3030        3030     524.686         530     4.40519
        3036        3036     525.671         531     4.40836
        3042        3042     526.659         532      4.4079
        3048        3048     527.646         533     4.41224
        3054        3054     528.631         534     4.41457
        3060        3060     529.618         535     4.41467
        3066        3066     530.599         536     4.41468
        3072        3072     531.588         537     4.41469
        3078        3078     532.576         538     4.41469
        3084        3084     533.562         539     4.41469
        3090        3090     534.546         540     4.41469
        3096        3096     535.529         541     4.41469
        3102        3102      536.51         542     4.41681
        3108        3108     537.494         543     4.42359
        3114        3114     538.476         544     4.41826
        3120        3120     539.458         545     4.42179
        3126        3126     540.436         546     4.42406
        3132        3132     541.427         547     4.42417
        3138        3138     542.406         548     4.42418
        3144        3144     543.394         549     4.42418
        3150        3150     544.373         550     4.42444
        3156        3156     545.359         551     4.42545
        3162        3162     546.343         552      4.4243
        3168        3168     547.325         553     4.42419
        3174        3174     548.313         554     4.42418
        3180        3180     549.298         555     4.42535
        3186        3186     550.277         556     4.42769
        3192        3192     551.255         557     4.43288
        3198        3198      552.24         558     4.43262
        3204        3204     553.225         559     4.43248
