

Curve Name:
  !PHBH_powder
Curve Values:
       Index           t          Ts          Tr       Value
                     [s]        [°C]        [°C]         [%]
           0           0     32,2597          25         100
        2376        2376     416,683         421     1,87063
        2382        2382     417,696         422     1,86447
        2388        2388     418,699         423      1,8577
        2394        2394     419,703         424     1,85122
        2400        2400     420,715         425     1,84496
        2406        2406     421,717         426     1,83851
        2412        2412     422,729         427     1,83159
        2418        2418     423,736         428     1,82516
        2424        2424     424,735         429     1,81759
        2430        2430     425,743         430     1,80963
        2436        2436     426,757         431     1,80218
        2442        2442     427,768         432     1,79433
        2448        2448      428,77         433     1,78649
        2454        2454      429,78         434     1,77814
        2460        2460     430,779         435     1,76992
        2466        2466     431,797         436     1,76087
        2472        2472     432,807         437     1,75137
        2478        2478     433,812         438     1,74288
        2484        2484     434,824         439      1,7335
        2490        2490     435,823         440     1,72403
        2496        2496     436,844         441     1,71469
        2502        2502     437,848         442     1,70548
        2508        2508     438,844         443       1,696
        2514        2514     439,847         444     1,68591
        2520        2520     440,855         445     1,67647
        2526        2526     441,843         446     1,66786
        2532        2532     442,843         447     1,65917
        2538        2538     443,836         448     1,65033
        2544        2544     444,825         449      1,6421
        2550        2550     445,811         450     1,63301
        2556        2556      446,81         451     1,62596
        2562        2562       447,8         452     1,61773
        2568        2568     448,782         453     1,61004
        2574        2574     449,777         454     1,60363
        2580        2580     450,761         455     1,59762
        2586        2586     451,745         456     1,59144
        2592        2592     452,729         457     1,58626
        2598        2598     453,708         458     1,58101
        2604        2604     454,691         459     1,57574
        2610        2610     455,672         460     1,57179
        2616        2616     456,657         461       1,568
        2622        2622     457,632         462     1,56499
        2628        2628     458,609         463     1,56124
        2634        2634     459,591         464     1,55788
        2640        2640     460,569         465     1,55627
        2646        2646     461,543         466     1,55413
        2652        2652     462,527         467     1,55141
        2658        2658     463,509         468     1,55075
        2664        2664     464,487         469     1,54995
        2670        2670      465,47         470     1,54729
        2676        2676     466,445         471     1,54813
        2682        2682      467,44         472     1,54666
        2688        2688     468,425         473     1,54612
        2694        2694     469,416         474     1,54552
        2700        2700     470,412         475     1,54443
        2706        2706     471,387         476     1,54461
        2712        2712     472,379         477     1,54348
        2718        2718     473,368         478     1,54349
        2724        2724     474,363         479     1,54348
        2730        2730     475,354         480     1,54348
        2736        2736     476,339         481     1,54253
        2742        2742     477,329         482     1,54173
        2748        2748     478,313         483     1,54086
        2754        2754     479,304         484     1,54138
        2760        2760     480,297         485     1,54128
        2766        2766     481,291         486     1,54086
        2772        2772     482,278         487     1,54087
        2778        2778     483,262         488     1,54086
        2784        2784     484,254         489     1,54086
        2790        2790     485,252         490     1,54086
        2796        2796     486,255         491     1,54086
        2802        2802     487,235         492     1,54086
        2808        2808     488,225         493     1,54086
        2814        2814     489,209         494     1,54086
        2820        2820     490,206         495     1,54086
        2826        2826     491,201         496     1,54086
        2832        2832     492,185         497     1,54086
        2838        2838      493,17         498     1,54086
        2844        2844     494,164         499     1,54086
        2850        2850     495,146         500     1,54086
        2856        2856     496,136         501     1,54086
        2862        2862     497,119         502     1,54086
        2868        2868     498,117         503     1,54086
        2874        2874     499,099         504     1,54086
        2880        2880       500,1         505     1,54158
        2886        2886     501,089         506     1,54221
        2892        2892      502,08         507     1,54203
        2898        2898     503,068         508     1,54156
        2904        2904      504,06         509     1,54188
        2910        2910     505,052         510      1,5429
        2916        2916      506,03         511     1,54286
        2922        2922      507,02         512      1,5426
        2928        2928      508,01         513     1,54261
        2934        2934     508,994         514     1,54209
        2940        2940     509,984         515      1,5432
        2946        2946     510,973         516     1,54348
        2952        2952     511,965         517     1,54348
        2958        2958     512,949         518     1,54348
        2964        2964     513,934         519     1,54406
        2970        2970     514,931         520     1,54514
        2976        2976     515,914         521     1,54436
        2982        2982     516,905         522     1,54435
        2988        2988     517,892         523     1,54556
        2994        2994     518,878         524     1,54528
        3000        3000      519,86         525     1,54522
        3006        3006     520,849         526      1,5457
        3012        3012     521,838         527     1,54602
        3018        3018     522,825         528      1,5461
        3024        3024     523,809         529     1,54633
        3030        3030      524,79         530     1,54645
        3036        3036     525,778         531     1,54639
        3042        3042     526,761         532     1,54622
        3048        3048     527,745         533     1,54697
        3054        3054     528,735         534     1,54813
        3060        3060     529,727         535     1,54846
        3066        3066     530,704         536      1,5487
        3072        3072     531,695         537     1,54871
        3078        3078     532,679         538     1,54871
        3084        3084     533,661         539     1,54871
        3090        3090      534,65         540     1,54871
        3096        3096     535,635         541     1,54871
        3102        3102     536,625         542     1,54879
        3108        3108     537,607         543       1,549
        3114        3114     538,591         544     1,54874
        3120        3120     539,573         545     1,54871
        3126        3126     540,551         546     1,55017
        3132        3132     541,544         547     1,55123
        3138        3138     542,522         548     1,55133
        3144        3144     543,506         549     1,55133
        3150        3150     544,497         550     1,55133
        3156        3156     545,478         551     1,55133
        3162        3162     546,457         552     1,55162
        3168        3168      547,45         553     1,55266
        3174        3174      548,43         554     1,55189
        3180        3180     549,414         555     1,55133
        3186        3186     550,398         556     1,55334
        3192        3192     551,382         557     1,55392
        3198        3198     552,366         558     1,55336
        3204        3204     553,344         559      1,5538
        3210        3210     554,319         560      1,5537
        3216        3216     555,305         561     1,55365
        3222        3222      556,29         562     1,55392
        3228        3228     557,269         563     1,55402
        3234        3234     558,248         564     1,55482
        3240        3240      559,23         565     1,55539
        3246        3246     560,202         566      1,5564
        3252        3252     561,187         567     1,55656
        3258        3258     562,171         568     1,55656
        3264        3264     563,153         569     1,55622
        3270        3270     564,124         570     1,55656
        3276        3276     565,116         571     1,55656
        3282        3282     566,084         572     1,55663
        3288        3288     567,076         573      1,5583
        3294        3294     568,046         574     1,55747
        3300        3300     569,026         575     1,55665
        3306        3306         570         576     1,55656
        3312        3312     570,979         577     1,55857
        3318        3318     571,963         578     1,55915
        3324        3324     572,942         579     1,55918
        3330        3330      573,92         580     1,55918
        3336        3336     574,904         581     1,55918
        3342        3342      575,88         582     1,55918
        3348        3348     576,865         583     1,55918
        3354        3354     577,837         584     1,55918
        3360        3360      578,81         585     1,55918
        3366        3366     579,797         586     1,55918
        3372        3372     580,771         587     1,55918
        3378        3378     581,737         588     1,55918
        3384        3384     582,725         589     1,56081
        3390        3390     583,701         590     1,56139
        3396        3396     584,678         591     1,55976
        3402        3402     585,653         592     1,56124
        3408        3408     586,627         593     1,56177
        3414        3414     587,602         594     1,56179
        3420        3420      588,58         595     1,56179
        3426        3426     589,561         596     1,56179
        3432        3432     590,529         597     1,56237
        3438        3438     591,513         598     1,56241
