                                                                21.09.2022 12:04
________________________________________________________________________________



Curve Name:
  !$PHBH pAG
Curve Values:
          Index             Ts          Value
                          [°C]        [Wg^-1]
              0            -50   -0,000972868
            606       -49,5029     -0,0972013
            607       -49,4197      -0,101673
            608       -49,3365      -0,106368
            609       -49,2533       -0,11138
            610       -49,1702      -0,116583
            611        -49,087      -0,121472
            612       -49,0038      -0,126338
            613       -48,9206      -0,130659
            614       -48,8374      -0,134687
            615       -48,7542      -0,138758
            616       -48,6711      -0,143124
            617       -48,5879      -0,146626
            618       -48,5046      -0,149337
            619       -48,4214      -0,152505
            620       -48,3382      -0,155248
            621       -48,2549      -0,156856
            622       -48,1717      -0,158708
            623       -48,0884       -0,16085
            624       -48,0052      -0,162819
            625       -47,9219      -0,163451
            626       -47,8386      -0,163885
            627       -47,7553      -0,164716
            628        -47,672      -0,166332
            629       -47,5887      -0,166989
            630       -47,5054      -0,167185
            631       -47,4221      -0,167502
            632       -47,3388      -0,168181
            633       -47,2555      -0,167882
            634       -47,1722      -0,167859
            635       -47,0889      -0,167756
            636       -47,0055      -0,167305
            637       -46,9222      -0,167523
            638       -46,8389      -0,167086
            639       -46,7556      -0,166545
            640       -46,6723      -0,166469
            641       -46,5889      -0,166647
            642       -46,5056      -0,166739
            643       -46,4223      -0,166445
            644        -46,339      -0,165535
            645       -46,2556      -0,164923
            646       -46,1723      -0,165061
            647        -46,089      -0,164471
            648       -46,0056      -0,163676
            649       -45,9223       -0,16281
            650        -45,839      -0,161984
            651       -45,7556      -0,161481
            652       -45,6723      -0,161516
            653        -45,589      -0,160924
            654       -45,5056      -0,160176
            655       -45,4223      -0,159699
            656        -45,339      -0,158966
            657       -45,2556      -0,158568
            658       -45,1723      -0,157972
            659        -45,089      -0,157257
            660       -45,0056      -0,157104
            661       -44,9223      -0,156959
            662        -44,839      -0,156056
            663       -44,7556      -0,155124
            664       -44,6723      -0,154454
            665        -44,589       -0,15405
            666       -44,5056      -0,153646
            667       -44,4223      -0,153168
            668        -44,339      -0,152603
            669       -44,2556      -0,152483
            670       -44,1723      -0,151858
            671        -44,089      -0,150776
            672       -44,0056      -0,150056
            673       -43,9223       -0,14938
            674        -43,839       -0,14963
            675       -43,7556      -0,149672
            676       -43,6723      -0,149023
            677        -43,589      -0,148012
            678       -43,5056      -0,147922
            679       -43,4223       -0,14731
            680       -43,3389      -0,146405
            681       -43,2556       -0,14598
            682       -43,1723      -0,145699
            683        -43,089      -0,145406
            684       -43,0056       -0,14505
            685       -42,9223      -0,144505
            686        -42,839      -0,144555
            687       -42,7556      -0,143998
            688       -42,6723      -0,143477
            689        -42,589       -0,14252
            690       -42,5056      -0,142257
            691       -42,4223      -0,142054
            692        -42,339      -0,141296
            693       -42,2556      -0,140644
            694       -42,1723      -0,140279
            695        -42,089        -0,1401
            696       -42,0056      -0,139424
            697       -41,9223      -0,138384
            698        -41,839      -0,138756
            699       -41,7556       -0,13863
            700       -41,6723      -0,138204
            701       -41,5889      -0,137375
            702       -41,5056      -0,137112
            703       -41,4223      -0,136634
            704       -41,3389      -0,136122
            705       -41,2556      -0,136433
            706       -41,1723      -0,135989
            707        -41,089      -0,135559
            708       -41,0056       -0,13523
            709       -40,9223      -0,135084
            710        -40,839      -0,134103
            711       -40,7556      -0,133617
            712       -40,6723      -0,133362
            713        -40,589      -0,133724
            714       -40,5057      -0,133372
            715       -40,4223      -0,132839
            716        -40,339      -0,131867
            717       -40,2556      -0,131046
            718       -40,1723      -0,130708
            719        -40,089      -0,130671
            720       -40,0056      -0,130575
            721       -39,9223      -0,130262
            722        -39,839      -0,129938
            723       -39,7557       -0,13007
            724       -39,6723      -0,129426
            725        -39,589       -0,12869
            726       -39,5056      -0,127977
            727       -39,4223      -0,127455
            728        -39,339      -0,127371
            729       -39,2556      -0,127236
            730       -39,1723      -0,126766
            731        -39,089      -0,126693
            732       -39,0056      -0,126359
            733       -38,9223       -0,12584
            734       -38,8389      -0,125011
            735       -38,7556      -0,125204
            736       -38,6723      -0,125165
            737        -38,589      -0,124662
            738       -38,5056      -0,124004
            739       -38,4223      -0,123994
            740        -38,339      -0,123819
            741       -38,2556      -0,123336
            742       -38,1723      -0,122797
            743        -38,089      -0,122611
            744       -38,0057      -0,122707
            745       -37,9223      -0,122101
            746        -37,839      -0,121793
            747       -37,7557      -0,121692
            748       -37,6723      -0,121527
            749        -37,589      -0,120843
            750       -37,5056      -0,119536
            751       -37,4223      -0,119772
            752        -37,339      -0,119746
            753       -37,2557      -0,119734
            754       -37,1723      -0,119428
            755        -37,089      -0,119184
            756       -37,0057      -0,118928
            757       -36,9223      -0,118452
            758        -36,839      -0,117539
            759       -36,7556      -0,117477
            760       -36,6723      -0,117197
            761        -36,589      -0,116835
            762       -36,5056       -0,11644
            763       -36,4223      -0,116586
            764        -36,339      -0,116602
            765       -36,2557      -0,116281
            766       -36,1723      -0,115934
            767        -36,089      -0,115584
            768       -36,0057      -0,115396
            769       -35,9224      -0,115511
            770        -35,839      -0,115645
            771       -35,7557      -0,115012
            772       -35,6723      -0,114487
            773        -35,589      -0,114078
            774       -35,5057      -0,113713
            775       -35,4223      -0,113453
