"Id"	"Magnification"	"^CE Diameter (µm)"	"Length (µm)"	"Width (µm)"	"Max. Distance (µm)"	"Perimeter (µm)"	"Major Axis (°)"	"Area (µm²)"	"SE Volume (µm³)"	"Area (Pixels)"	"Circularity"	"HS Circularity"	"Convexity"	"Solidity"	"Aspect Ratio"	"Elongation"	"Intensity Mean"	"Intensity SD"	"Centre X Position (µm)"	"Centre Y Position (µm)"	"Frame Row"	"Frame Column"	"Frame Index"	"Edge stitched particle"	"Scaling Factor"	"Fiber Total Length (µm)"	"Fiber Width (µm)"	"Fiber Elongation"	"Fiber Straightness"	"Scan Area Correction"
2738	10.00	43.34	44.04	43.38	44.34	137.10	126.53	1475.22	42623.28	45772	0.989	0.978	0.994	0.997	0.985	0.015	30.586	12.693	28927.203	80120.508	171	26	2982	0	1	-1.00	-1.00	-1.000	-1.000	1.000
5041	10.00	43.33	43.73	43.25	44.37	137.21	107.21	1474.44	42589.76	45748	0.988	0.976	0.992	0.997	0.989	0.011	30.531	12.594	39173.938	68102.359	142	45	6159	0	1	-1.00	-1.00	-1.000	-1.000	1.000
4668	10.00	43.31	44.67	42.58	44.87	137.03	165.62	1473.54	42550.67	45720	0.989	0.978	0.995	0.998	0.953	0.047	29.735	13.169	37230.914	36733.602	62	42	5605	0	1	-1.00	-1.00	-1.000	-1.000	1.000
4267	10.00	43.31	46.56	43.02	46.56	138.97	41.48	1473.12	42532.52	45707	0.975	0.951	0.991	0.992	0.924	0.076	27.424	14.836	35821.508	67983.273	141	39	5060	0	1	-1.00	-1.00	-1.000	-1.000	1.000
1758	10.00	43.31	44.76	43.98	45.02	138.07	59.13	1473.12	42532.52	45707	0.981	0.963	0.990	0.995	0.983	0.017	28.112	13.554	25263.303	32149.166	51	19	1931	0	1	-1.00	-1.00	-1.000	-1.000	1.000
5305	10.00	43.30	43.87	43.59	44.12	136.76	63.91	1472.31	42497.63	45682	0.991	0.981	0.994	0.998	0.994	0.006	27.779	14.067	39934.531	43734.371	80	47	6597	0	1	-1.00	-1.00	-1.000	-1.000	1.000
4307	10.00	43.26	44.10	43.27	44.16	136.98	77.08	1469.54	42377.68	45596	0.988	0.976	0.992	0.997	0.981	0.019	31.261	11.930	35543.480	54285.242	107	39	5094	0	1	-1.00	-1.00	-1.000	-1.000	1.000
8325	10.00	43.24	43.56	42.86	44.01	136.03	143.63	1468.41	42328.89	45561	0.995	0.989	0.997	0.999	0.984	0.016	29.531	13.306	51200.008	45986.547	85	68	10700	0	1	-1.00	-1.00	-1.000	-1.000	1.000
6281	10.00	43.21	43.94	43.20	44.22	136.87	124.47	1466.22	42234.17	45493	0.988	0.976	0.993	0.996	0.983	0.017	31.949	12.396	43567.332	28247.787	41	54	7863	0	1	-1.00	-1.00	-1.000	-1.000	1.000
858	10.00	43.18	43.66	43.27	44.17	136.41	3.86	1464.64	42165.95	45444	0.991	0.981	0.994	0.997	0.991	0.009	31.448	11.529	20883.240	51975.789	101	11	883	0	1	-1.00	-1.00	-1.000	-1.000	1.000
8176	10.00	43.18	46.39	43.59	46.63	139.58	40.73	1464.13	42143.68	45428	0.968	0.936	0.988	0.990	0.939	0.061	31.455	12.428	50855.320	53245.941	104	67	10510	0	1	-1.00	-1.00	-1.000	-1.000	1.000
5377	10.00	43.18	49.94	40.37	50.03	146.73	100.08	1464.13	42143.68	45428	0.920	0.847	0.957	0.973	0.808	0.192	30.932	13.810	40815.445	25303.941	33	48	6698	0	1	-1.00	-1.00	-1.000	-1.000	1.000
7193	10.00	43.17	43.73	43.24	44.01	136.60	10.22	1463.90	42133.94	45421	0.989	0.978	0.994	0.997	0.989	0.011	28.131	13.852	46213.672	39534.992	70	59	8940	0	1	-1.00	-1.00	-1.000	-1.000	1.000
9217	10.00	43.16	47.77	42.32	47.80	137.88	159.62	1463.29	42107.51	45402	0.980	0.960	0.991	0.994	0.886	0.114	28.138	13.495	55028.574	70577.398	148	75	12082	0	1	-1.00	-1.00	-1.000	-1.000	1.000
9434	10.00	43.13	43.64	43.15	44.08	136.26	46.78	1461.26	42019.90	45339	0.990	0.981	0.996	0.998	0.989	0.011	29.994	12.957	56103.410	83806.359	181	77	12453	0	1	-1.00	-1.00	-1.000	-1.000	1.000
2407	10.00	43.11	43.84	43.12	43.84	136.22	36.86	1459.81	41957.36	45294	0.990	0.981	0.994	0.998	0.984	0.016	30.093	13.185	27672.928	57466.047	114	24	2618	0	1	-1.00	-1.00	-1.000	-1.000	1.000
15713	10.00	43.02	43.31	42.95	43.70	135.88	3.21	1453.43	41682.53	45096	0.991	0.981	0.993	0.998	0.992	0.008	29.106	14.076	77430.883	62877.086	128	118	20444	0	1	-1.00	-1.00	-1.000	-1.000	1.000
469	10.00	42.97	43.90	42.37	44.52	136.63	154.45	1450.24	41545.34	44997	0.984	0.968	0.990	0.997	0.965	0.035	27.111	13.961	19023.461	43721.285	80	7	501	0	1	-1.00	-1.00	-1.000	-1.000	1.000
5243	10.00	42.96	44.18	42.42	44.29	135.86	89.00	1449.53	41514.88	44975	0.989	0.979	0.993	0.998	0.960	0.040	31.127	14.067	39614.395	78875.328	168	46	6455	0	1	-1.00	-1.00	-1.000	-1.000	1.000
10505	10.00	42.91	43.93	42.82	44.12	135.61	156.61	1446.18	41370.97	44871	0.990	0.980	0.994	0.998	0.975	0.025	31.092	12.006	59669.758	32606.164	52	84	13899	0	1	-1.00	-1.00	-1.000	-1.000	1.000
2787	10.00	42.85	43.41	43.11	43.60	135.50	159.35	1442.37	41207.88	44753	0.990	0.979	0.993	0.997	0.993	0.007	28.464	14.138	29245.004	70613.297	148	27	3021	0	1	-1.00	-1.00	-1.000	-1.000	1.000
13930	10.00	42.81	48.56	40.90	48.95	146.05	140.98	1439.67	41091.91	44669	0.917	0.841	0.968	0.965	0.842	0.158	25.555	17.060	71059.445	32548.305	52	106	18217	0	1	-1.00	-1.00	-1.000	-1.000	1.000
2858	10.00	42.81	43.48	42.92	43.79	135.55	121.58	1439.28	41075.36	44657	0.988	0.976	0.994	0.997	0.987	0.013	28.412	13.615	29481.061	46274.156	87	27	3082	0	1	-1.00	-1.00	-1.000	-1.000	1.000
3579	10.00	42.81	43.81	42.53	43.85	135.41	166.14	1439.18	41071.22	44654	0.989	0.978	0.994	0.998	0.971	0.029	27.774	14.665	32542.424	47170.660	89	33	4064	0	1	-1.00	-1.00	-1.000	-1.000	1.000
5155	10.00	42.79	44.71	41.92	45.41	135.92	126.10	1438.31	41033.98	44627	0.985	0.970	0.992	0.997	0.937	0.063	31.928	11.745	39668.285	20439.746	21	46	6308	0	1	-1.00	-1.00	-1.000	-1.000	1.000
7121	10.00	42.77	43.29	42.97	44.16	135.37	42.26	1436.73	40966.41	44578	0.989	0.977	0.994	0.997	0.992	0.008	31.340	12.815	46297.668	74431.711	158	59	8852	0	1	-1.00	-1.00	-1.000	-1.000	1.000
17161	10.00	42.77	43.16	43.09	43.27	135.16	72.95	1436.51	40956.76	44571	0.990	0.980	0.994	0.998	0.998	0.002	29.122	13.898	82820.047	33771.238	55	128	21973	0	1	-1.00	-1.00	-1.000	-1.000	1.000
10288	10.00	42.74	43.13	42.73	43.52	135.16	82.70	1434.73	40880.98	44516	0.989	0.979	0.994	0.998	0.991	0.009	28.671	13.849	58708.078	64832.395	133	82	13576	0	1	-1.00	-1.00	-1.000	-1.000	1.000
12671	10.00	42.73	46.56	39.34	46.56	136.54	160.59	1434.09	40853.43	44496	0.979	0.959	0.992	0.997	0.845	0.155	27.130	14.484	66399.953	32906.867	53	97	16589	0	1	-1.00	-1.00	-1.000	-1.000	1.000
2538	10.00	42.67	44.30	42.49	44.31	135.58	126.37	1430.29	40691.03	44378	0.985	0.970	0.991	0.997	0.959	0.041	28.167	14.378	28161.164	59053.645	119	25	2739	0	1	-1.00	-1.00	-1.000	-1.000	1.000
1657	10.00	42.62	43.27	42.55	43.37	135.17	134.25	1426.74	40539.83	44268	0.987	0.973	0.991	0.997	0.983	0.017	27.284	14.250	24915.672	69920.266	146	18	1790	0	1	-1.00	-1.00	-1.000	-1.000	1.000
9113	10.00	42.62	43.43	42.25	43.72	134.83	72.99	1426.39	40524.71	44257	0.989	0.978	0.993	0.998	0.973	0.027	30.047	13.362	54396.754	22235.203	26	74	11853	0	1	-1.00	-1.00	-1.000	-1.000	1.000
4627	10.00	42.60	43.90	43.83	44.91	138.36	135.36	1425.10	40469.79	44217	0.963	0.928	0.984	0.981	0.998	0.002	29.961	13.434	37187.723	20082.771	20	42	5563	0	1	-1.00	-1.00	-1.000	-1.000	1.000
1193	10.00	42.58	43.43	42.93	43.46	135.08	144.13	1423.81	40414.89	44177	0.986	0.973	0.990	0.997	0.989	0.011	27.286	14.661	22306.234	63868.172	130	14	1260	0	1	-1.00	-1.00	-1.000	-1.000	1.000
15483	10.00	42.58	43.39	42.08	43.48	134.92	145.60	1423.78	40413.52	44176	0.987	0.975	0.994	0.998	0.970	0.030	30.020	13.162	76392.617	70482.453	147	116	20119	0	1	-1.00	-1.00	-1.000	-1.000	1.000
2617	10.00	42.57	42.95	42.74	43.03	134.57	110.32	1423.07	40383.33	44154	0.990	0.980	0.993	0.998	0.995	0.005	33.647	11.715	28277.260	25145.332	33	25	2825	0	1	-1.00	-1.00	-1.000	-1.000	1.000
17298	10.00	42.56	44.53	42.43	44.61	134.51	92.90	1422.81	40372.36	44146	0.990	0.980	0.995	0.998	0.953	0.047	28.934	14.112	83579.375	49820.320	96	129	22172	0	1	-1.00	-1.00	-1.000	-1.000	1.000
15433	10.00	42.50	43.10	42.82	43.41	134.54	67.89	1418.65	40195.52	44017	0.988	0.977	0.993	0.997	0.993	0.007	33.287	11.775	76360.742	39895.336	70	116	20042	0	1	-1.00	-1.00	-1.000	-1.000	1.000
9787	10.00	42.49	44.40	42.59	45.23	137.78	91.59	1418.17	40174.98	44002	0.965	0.931	0.980	0.991	0.959	0.041	30.549	13.656	56805.746	49154.742	94	79	12944	0	1	-1.00	-1.00	-1.000	-1.000	1.000
13692	10.00	42.47	42.76	42.27	43.21	133.86	141.86	1416.46	40102.42	43949	0.993	0.985	0.995	0.999	0.988	0.012	32.228	12.389	70060.789	31888.969	50	104	17839	0	1	-1.00	-1.00	-1.000	-1.000	1.000
12667	10.00	42.46	42.52	42.29	43.43	134.04	161.04	1415.88	40077.78	43931	0.991	0.982	0.994	0.999	0.995	0.005	33.276	11.105	66338.883	34798.125	58	97	16584	0	1	-1.00	-1.00	-1.000	-1.000	1.000
9193	10.00	42.43	42.93	42.46	43.12	133.95	15.54	1414.14	40003.91	43877	0.991	0.982	0.994	0.998	0.989	0.011	30.464	13.813	54211.281	69232.805	144	74	11971	0	1	-1.00	-1.00	-1.000	-1.000	1.000
4661	10.00	42.43	44.36	42.16	44.37	134.12	4.36	1413.88	39992.97	43869	0.990	0.980	0.995	0.998	0.950	0.050	29.568	13.864	37344.988	34275.543	56	42	5599	0	1	-1.00	-1.00	-1.000	-1.000	1.000
9448	10.00	42.40	42.84	42.47	43.11	134.04	43.20	1412.08	39916.42	43813	0.990	0.980	0.994	0.998	0.991	0.009	29.788	13.573	55780.137	74305.125	157	77	12477	0	1	-1.00	-1.00	-1.000	-1.000	1.000
12838	10.00	42.39	44.78	42.56	44.88	135.24	81.19	1411.27	39882.25	43788	0.981	0.962	0.992	0.995	0.950	0.050	30.486	14.015	67181.875	85204.891	184	98	16820	0	1	-1.00	-1.00	-1.000	-1.000	1.000
7861	10.00	42.34	43.04	42.30	43.16	133.88	17.50	1408.24	39753.90	43694	0.990	0.979	0.993	0.998	0.983	0.017	29.856	13.589	49708.746	74877.109	159	65	10052	0	1	-1.00	-1.00	-1.000	-1.000	1.000
